行号,工具名称,工具版本,烧录时间,烧录Mac,烧录结果,串口号,烧录口,烧录状态,底板ID,芯片型号,固件项目信息,固件版本,固件大小,固件CRC,授权文件大小,授权文件CRC,mac烧录地址,license或滚码,license烧录地址,license总个数,license剩余个数,滚码起始值,滚码总个数,滚码剩余个数
33,集贤新烧录器,v1.2.4,20230512 15:49:10,mac:2373EAE83EAC,FAIL,COM30,3,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999992
34,集贤新烧录器,v1.2.4,20230512 15:49:10,mac:2373EAE83EAD,FAIL,COM30,4,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999992
35,集贤新烧录器,v1.2.4,20230512 15:49:10,mac:2373EAE83EAE,FAIL,COM30,5,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999992
36,集贤新烧录器,v1.2.4,20230512 15:49:27,mac:2373EAE83EAB,PASS,COM30,1,烧录成功,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999991
37,集贤新烧录器,v1.2.4,20230512 15:49:27,mac:2373EAE83EAC,FAIL,COM30,2,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999991
38,集贤新烧录器,v1.2.4,20230512 15:49:27,mac:2373EAE83EAD,FAIL,COM30,3,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999991
39,集贤新烧录器,v1.2.4,20230512 15:49:27,mac:2373EAE83EAE,FAIL,COM30,4,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999991
40,集贤新烧录器,v1.2.4,20230512 15:49:27,mac:2373EAE83EAF,FAIL,COM30,5,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999991
41,集贤新烧录器,v1.2.4,20230512 15:49:54,mac:2373EAE83EAC,PASS,COM30,1,烧录成功,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999990
42,集贤新烧录器,v1.2.4,20230512 15:49:54,mac:2373EAE83EAD,FAIL,COM30,2,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999990
43,集贤新烧录器,v1.2.4,20230512 15:49:54,mac:2373EAE83EAE,FAIL,COM30,3,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999990
44,集贤新烧录器,v1.2.4,20230512 15:49:54,mac:2373EAE83EAF,FAIL,COM30,4,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999990
45,集贤新烧录器,v1.2.4,20230512 15:49:54,mac:2373EAE83EB0,FAIL,COM30,5,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999990
46,集贤新烧录器,v1.2.4,20230512 15:50:14,mac:2373EAE83EAD,PASS,COM30,1,烧录成功,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999989
47,集贤新烧录器,v1.2.4,20230512 15:50:14,mac:2373EAE83EAE,FAIL,COM30,2,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999989
48,集贤新烧录器,v1.2.4,20230512 15:50:14,mac:2373EAE83EAF,FAIL,COM30,3,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999989
49,集贤新烧录器,v1.2.4,20230512 15:50:14,mac:2373EAE83EB0,FAIL,COM30,4,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999989
50,集贤新烧录器,v1.2.4,20230512 15:50:14,mac:2373EAE83EB1,FAIL,COM30,5,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999989
