行号,工具名称,工具版本,烧录时间,烧录Mac,烧录结果,串口号,烧录口,烧录状态,底板ID,芯片型号,固件项目信息,固件版本,固件大小,固件CRC,授权文件大小,授权文件CRC,mac烧录地址,license或滚码,license烧录地址,license总个数,license剩余个数,滚码起始值,滚码总个数,滚码剩余个数
48,集贤新烧录器,v1.2.4,20220401 17:36:48,mac:3873EAE83EA8,FAIL,COM4,3,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999997
49,集贤新烧录器,v1.2.4,20220401 17:36:48,mac:3873EAE83EA9,FAIL,COM4,4,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999997
50,集贤新烧录器,v1.2.4,20220401 17:36:48,mac:3873EAE83EAA,FAIL,COM4,5,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999997
51,集贤新烧录器,v1.2.4,20220401 17:37:08,mac:3873EAE83EA6,PASS,COM4,1,烧录成功,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999997
52,集贤新烧录器,v1.2.4,20220401 17:37:08,mac:3873EAE83EA7,FAIL,COM4,2,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999997
53,集贤新烧录器,v1.2.4,20220401 17:37:08,mac:3873EAE83EA8,FAIL,COM4,3,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999997
54,集贤新烧录器,v1.2.4,20220401 17:37:08,mac:3873EAE83EA9,FAIL,COM4,4,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999997
55,集贤新烧录器,v1.2.4,20220401 17:37:08,mac:3873EAE83EAA,FAIL,COM4,5,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999997
56,集贤新烧录器,v1.2.4,20220401 17:37:24,mac:3873EAE83EA7,FAIL,COM4,1,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
57,集贤新烧录器,v1.2.4,20220401 17:37:24,mac:3873EAE83EA8,FAIL,COM4,2,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
58,集贤新烧录器,v1.2.4,20220401 17:37:24,mac:3873EAE83EA9,FAIL,COM4,3,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
59,集贤新烧录器,v1.2.4,20220401 17:37:24,mac:3873EAE83EAA,FAIL,COM4,4,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
60,集贤新烧录器,v1.2.4,20220401 17:37:24,mac:3873EAE83EAB,FAIL,COM4,5,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
61,集贤新烧录器,v1.2.4,20220401 17:37:35,mac:3873EAE83EA7,FAIL,COM4,1,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
62,集贤新烧录器,v1.2.4,20220401 17:37:35,mac:3873EAE83EA8,FAIL,COM4,2,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
63,集贤新烧录器,v1.2.4,20220401 17:37:35,mac:3873EAE83EA9,FAIL,COM4,3,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
64,集贤新烧录器,v1.2.4,20220401 17:37:35,mac:3873EAE83EAA,FAIL,COM4,4,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
65,集贤新烧录器,v1.2.4,20220401 17:37:35,mac:3873EAE83EAB,FAIL,COM4,5,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
66,集贤新烧录器,v1.2.4,20220401 17:37:45,mac:3873EAE83EA7,FAIL,COM4,1,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
67,集贤新烧录器,v1.2.4,20220401 17:37:45,mac:3873EAE83EA8,FAIL,COM4,2,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
68,集贤新烧录器,v1.2.4,20220401 17:37:45,mac:3873EAE83EA9,FAIL,COM4,3,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
69,集贤新烧录器,v1.2.4,20220401 17:37:45,mac:3873EAE83EAA,FAIL,COM4,4,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
70,集贤新烧录器,v1.2.4,20220401 17:37:45,mac:3873EAE83EAB,FAIL,COM4,5,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
